Number of Steps,Distance Traveled,X Position,Y Position
56,3.2466272115707397,-0.7127635896509203,-0.23695415488963575
57,3.310521140098572,-0.7617045795331274,-0.2500970440630175
58,3.3744999647140506,-0.8111840011755966,-0.26365589707540193
59,3.4389608907699585,-0.8611552851340925,-0.2776962639434848
60,3.502917113304138,-0.911591440678778,-0.292283418599328
61,3.5672967195510865,-0.9624535084560257,-0.3073540154283558
62,3.632425322532654,-1.0137480620500536,-0.3228588213632046
63,3.6981208181381224,-1.0654608848989187,-0.3388723838399908
64,3.7649146699905396,-1.1176067543437525,-0.35534280947233177
65,3.832004132270813,-1.1701873722371878,-0.3723442423114571
66,3.8999439573287966,-1.2231667263310995,-0.38993506804989586
67,3.968892273902893,-1.2765731567307244,-0.40806399757205214
68,4.036823897361756,-1.330401098750613,-0.4268022015229865
69,4.104988064765931,-1.38459140177572,-0.44607712648890335
70,4.173736710548401,-1.4391026969750336,-0.46595497685535586
71,4.2416268491745,-1.4939537012462885,-0.48638593217707554
72,4.309561085700989,-1.5490515120806168,-0.507423385679316
73,4.377656025886536,-1.6043460008742758,-0.5291323788293426
74,4.447637286186218,-1.6598404330597658,-0.5514572662425483
75,4.518128037452698,-1.715564800910943,-0.5744981652145348
76,4.588264966011048,-1.7715323768559579,-0.5982129852591661
77,4.658258223533631,-1.8276656037973775,-0.6226687263680356
78,4.72793876171112,-1.8839509209882053,-0.6478121364129249
79,4.796186652183533,-1.9403125853015712,-0.6737127071588908
80,4.864528784751892,-1.9966845418456702,-0.7002919634530462
81,4.932343525886536,-2.053010369072455,-0.7276307293684371
82,4.999530882835389,-2.1092696832397055,-0.7556654953941728
83,5.0693277692794805,-2.1654394812256648,-0.7843349532715909
84,5.13966920375824,-2.221569881273581,-0.8137772361192337
85,5.2099085664749145,-2.277686783297424,-0.8439502929329099
86,5.279741492271423,-2.333789969248489,-0.8747980700445288
87,5.348727259635925,-2.389871566479582,-0.906253574985417
88,5.417691187858582,-2.445840395625973,-0.9383593792737773
89,5.4870177221298215,-2.5017199604583924,-0.9710405381301148
90,5.556168141365052,-2.5575513496666593,-1.0042332484995855
91,5.621708836555481,-2.6132811096316972,-1.037983225805601
92,5.686811995506287,-2.6688036802978825,-1.0721082308331717
93,5.753059439659118,-2.7240562159648345,-1.1066443719727967
94,5.818648753166199,-2.779146551445713,-1.1415355609112527
95,5.884361538887024,-2.8340109249155603,-1.1768143571987983
96,5.951260209083557,-2.8887087776969333,-1.2123930804101701
97,6.019289059638977,-2.9432507141395035,-1.2483528913137834
98,6.085073561668396,-2.997732503179708,-1.2846358511105835
99,6.152996945381164,-3.0520246809691582,-1.3212297324711142
100,6.221342825889588,-3.106180294405712,-1.3582323177072737
101,6.290044312477112,-3.1601792338831673,-1.3956935616087904
102,6.35728449344635,-3.214082411334949,-1.4335396570105075
103,6.425996222496033,-3.267780834800649,-1.4717887319027494
104,6.49517813205719,-3.3212865103063067,-1.5105330915294708
105,6.563868546485901,-3.3745641890164926,-1.5498409000248297
106,6.632756218910218,-3.427624218307583,-1.5896389779755322
107,6.692649998664856,-3.4804044665499148,-1.6300081081842681
108,6.75286819934845,-3.532058179078393,-1.6702801127897022
109,6.810212607383728,-3.5825098490303176,-1.710540481250009
110,6.868183789253235,-3.6318201566619015,-1.7507013892247905
